CSDNAME,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr,Mean in Percentage
Sifton,21,1,1,1,0,21,1,1,0,1,1,1,1,0,100
Pipestone,2,1,1,1,0,2,1,1,0,1,1,1,1,0,100
Wallace-Woodworth,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Souris-Glenwood,13,1,1,1,0,13,1,1,0,1,1,1,1,0,100
Whitehead,3,1,1,1,0,3,1,1,0,1,1,1,1,0,100
Cornwallis,2,1,1,1,0,2,1,1,0,1,1,1,1,0,100
"Division No. 17, Unorganized",4,2,0,1,1,1,0.25,0,0.433012701892219,1,0,0,0.5,0.5,25
Gimli,3,1,1,1,0,3,1,1,0,1,1,1,1,0,100
"Division No. 21, Unorganized",45,2,0,1,1,9,0.2,0,0.4,1,0,0,0,0,20
Elton,5,1,1,1,0,5,1,1,0,1,1,1,1,0,100
St. Clements,1,1,1,1,0,1,1,1,0,1,1,1,1,0,100
Rosser,1,1,1,1,0,1,1,1,0,1,1,1,1,0,100
De Salaberry,12,1,1,1,0,12,1,1,0,1,1,1,1,0,100
Stuartburn,29,2,0,1,1,28,0.96551724137931,1,0.182465607659627,0,1,1,1,0,96.551724137931
Piney,60,2,0,1,1,40,0.666666666666667,1,0.471404520791032,0,1,0,1,1,66.6666666666667
Lac du Bonnet,17,2,0,1,1,6,0.352941176470588,0,0.47788461203741,1,0,0,1,1,35.2941176470588
Alexander,21,2,0,1,1,3,0.142857142857143,0,0.349927106111883,1,0,0,0,0,14.2857142857143
"Division No.  1, Unorganized",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Emerson-Franklin,25,1,1,1,0,25,1,1,0,1,1,1,1,0,100
Argyle,18,1,1,1,0,18,1,1,0,1,1,1,1,0,100
,1347,2,0,1,1,935,0.694135115070527,1,0.460772782504081,0,1,0,1,1,69.4135115070527
